Name,Formula,CAS No,Amount,Location,Notes
Tris(hydroxymethyl)aminomethane,C4H11NO3,77-86-1,100 g,Chemical Store (V11A),Store code: O5-17
Tungsten(IV) Sulfide,WS2,12138-09-9,50 g,Chemical Store (V11A),Store code: O5-32
Tungstic Acid,H2WO4,7783-03-1,500 g,Biological Lab,Store code: O5-56
Urea,CH4N2O,57-13-6,x1 | 1 kg,V11A) | Bio-Lab,Store code: O5-18
Vanadium(V) Oxide,V2O5,1314-62-1,50 g,Chemical Store (V11A),Store code: Y2-22
Zinc Acetate Dihydrate,Zn(CH3COO)2⋅2H2O,5970-45-6,500 g,Biological Lab,Store code: O5-50
Zinc Chloride,ZnCl2,7646-85-7,500 g,Biological Lab,Store code: O1-16
Zinc Fluoride,ZnF2,7783-49-5,100 g,Chemical Store (V11A),Store code: O2-07
Zinc Iodide,ZnI2,10139-47-6,,Chemical Store (V11A),Store code: O5-19
Zinc Nitrate Hydrate / Hexahydrate,Zn(NO3)2⋅xH2O,13778-30-8 / 10196-18-6,20 g | 300,V11A | Bio-Lab,Store code: O3-20
Zinc Nitride,Zn3N2,1313-49-1,10 g,Chemical Store (V11A),Store code: Y1-05
Zinc Phthalocyanine,C32H16N8Zn,14320-04-8,,Chemical Store (V11A),Store code: O5-20
Zinc Telluride,ZnTe,1315-11-3,25 g,Chemical Store (V11A),Store code: O5-29
